kandidat,parti,stemmer
Anders Winnerskjold,Socialdemokratiet,2484
Christian Budde,Venstre,376
"Sarah Jarsbo, Trøjborg",Enhedslisten,345
"Thomas Medom, Hjortshøj",SF,268
"Liv Gro Jensen, Hjortshøj",SF,267
"Nicolaj Bang, Aarhus",Konservative,252
Anna Thusgård,Socialdemokratiet,228
Mathilde Hjort Bressum,Venstre,212
Kristian Sommer,Socialdemokratiet,209
"Metin Lindved Aydin, Højbjerg",Radikale,170
"Mette Bjerre, Skødstrup",SF,132
"Isabella Heilmann, Aarhus C",Enhedslisten,131
"Albert Rosenkrantz Conradsen, Aarhus C",SF,129
Matilde Dueholm,Socialdemokratiet,119
"Jeppe Spure Nielsen, Aarhus C",Alternativet,118
"Jakob Søgaard Clausen, Lystrup",Danmarksdemokraterne,105
"Peter Sporleder, Højbjerg",Konservative,101
"Nikoline Erbs Hillers-Bendtsen, Aarhus C",Alternativet,98
"Bettina Nørkjær Franch, Aarhus N",Radikale,97
Gert Bjerregaard,Venstre,96
Michael Christensen,Liberal Alliance,92
"Lotte Friis Böing, Mårslet",Konservative,86
"Malika Bøge Rosenskjold, Hasle",Radikale,80
"Rasmus Anker Rysgaard, Aarhus C",Radikale,75
"Nanna Lippert Troelsen, Aarhus C",SF,73
"Polly Bak Dutschke, Aarhus",Moderaterne,71
Anette Poulsen,Socialdemokratiet,71
"Bjørn Olsen, Risskov",Alternativet,63
"Gunvor Ganer Krejberg, Risskov",SF,63
Eva Borchorst Mejnertz,Socialdemokratiet,57
Thomas Kastrup Christensen,Dansk Folkeparti,57
"Bünyamin Simsek, Aarhus C",Konservative,55
"Henriette Hennelund, Aarhus C",SF,45
"Mattias Agger, Vejlby-Risskov",Radikale,45
Jesper Kjeldsen,Socialdemokratiet,44
"Oliver Abildskov, Aarhus C",Konservative,41
Martin Christensen,Venstre,39
"Shawn Owens, Risskov",Konservative,38
Henrik Arens,Liberal Alliance,37
Søren Jensen,Liberal Alliance,36
Louise Svenstrup,Liberal Alliance,35
Henrik Olsen,T,35
"Rud Larris, Frederiksbjerg",Enhedslisten,31
Hans Skou,Venstre,31
Steffen Wich,Socialdemokratiet,31
Emil M. D. Christensen,Venstre,31
"Karina Bundgaard, Aarhus C",Enhedslisten,29
"Erik Back, Aarhus C",Konservative,27
"Mahad B. Yussuf, Viby J",Radikale,26
Mikkel Strube-Weber,Venstre,26
"Mathilda Snefred Jokumsen, Trøjborg",Enhedslisten,25
Steffen Skovfoged,Venstre,25
Almaz Mengesha,Venstre,25
"Christian Vuust, Aarhus C",Radikale,25
"Sebastian Kaimson, Aarhus N",Konservative,23
"Cecilie Harrits, Aarhus N",SF,22
"Poul Holm Christensen, Harlev J",Moderaterne,22
"Sander Jensen, Trøjborg",SF,21
"Jeppe Ulrich Lomholt, Aarhus V",Enhedslisten,20
"Jens Salling, Aarhus Ø",Konservative,20
"Martin Risgaard, Viby",Moderaterne,20
Carsten Kruuse,Liberal Alliance,19
"Sebastian Halvorsen, Aarhus N",SF,19
Sune Thorleifsson,Liberal Alliance,19
Lise Jørgensen,Socialdemokratiet,18
"Antoniett Vebel Pharao, Aarhus C",SF,17
"Mikkel Seier, Risskov",Radikale,17
Lone Haargaard,Venstre,16
"Susanne Lund, Hasselager",Konservative,16
"Rasmus T. Mortensen, Sabro",SF,16
