kandidat,parti,stemmer
"Mikael Würtz, Engesvang",Dansk Folkeparti,463
"H. C. Jørgensen, Engesvang",Socialdemokratiet,459
Søren Christiansen,Venstre,458
Ib Lauritsen,Venstre,392
Henrik Engedahl,Venstre,366
"Kirsten Hoffmann, Ejstrupholm",Socialdemokratiet,351
Katri Berg,Venstre,343
"Annette Øgaard, Ejstrupholm",Konservative,303
Thomas Kristensen,Venstre,250
"Inge Dinis, Bording",Socialdemokratiet,242
"Finn Brostrup, Nørre Snede",Dansk Folkeparti,226
"Martin Arvad, Ejstrupholm",Danmarksdemokraterne,213
"Emma Thorup Jacobsen, Ikast",SF,209
"Simon Vanggaard, Ikast",Dansk Folkeparti,201
"Hanne Bang Pedersen, Klovborg",Konservative,189
Thomas Østergaard,Venstre,170
Kim Schjermer,Venstre,137
"Kasper Pauli Pedersen, Ikast",Socialdemokratiet,135
"Bruno Ostenfeldt, Ejstrupholm",L,87
Henrik Christiansen,Liberal Alliance,71
"Claus Sørensen, Bording",Danmarksdemokraterne,70
"Hans Peter Rousing, Bording",Dansk Folkeparti,68
"Jacob Rosen Madsen, Gludsted",Socialdemokratiet,66
Lars Hansen,Liberal Alliance,65
"Anne-Marie Breum Berg, Hampen",Dansk Folkeparti,65
"Gitte Albertsen, Klovborg",Danmarksdemokraterne,60
"Bo Sand Kristensen, Brande",Danmarksdemokraterne,57
"Rune Lyager, Brande",L,54
"Mustafa Arslan, Ikast",Socialdemokratiet,50
"Søs Philipsen, Ikast",Socialdemokratiet,47
"Annette Mosegaard, Isenvad",Konservative,43
"Klaus Vanggaard, Ejstrupholm",Dansk Folkeparti,41
"Henrik Overgaard, Brande",Konservative,40
"Tina Ostersen, Brande",Dansk Folkeparti,38
Johnny Hessellund,Venstre,34
"Peder Fenger, Ikast",Danmarksdemokraterne,33
"Rasmus Hebsgaard, Ikast",Konservative,26
Andreas Würtz,Venstre,26
Laila Leerholm,Venstre,23
"Bjarke Kristensen, Ikast",L,22
Palle Høj,Venstre,21
"Karina Gudmann Nielsen, Brande",SF,20
"Lotte Stoltenborg, Uhre",L,20
"Mie Sylvestersen-Platz, Gludsted",Konservative,16
"Claus Guldberg-Møller, Blåhøj",Danmarksdemokraterne,15
"Kirsten York Helms, Brande",Konservative,14
Tina Jensen,Liberal Alliance,13
"Simon Arnt Kokkenborg, Brande",Konservative,12
"Morten Colbert, Grarup",L,10
Lars Lyhne,Venstre,9
"Connie Marie Grundt Thomsen, Brande",Dansk Folkeparti,8
"Lene Stumph Nielsen, Ikast",Socialdemokratiet,8
"Nikolaj Hviid, Blåhøj",L,8
Casper Edemann-Nielsen,Liberal Alliance,7
Erik Ellehammer,Venstre,6
Marianne Oksbjerre,Venstre,5
Gert Bækgaard,Venstre,5
"Jonas P. S. Jørgensen, Brande",L,5
"Tina Sørensen, Ikast",Konservative,5
Oleksandr Rybachok,Venstre,4
"Tommy Vestergaard, Ikast",Dansk Folkeparti,4
Stig Villadsen,Liberal Alliance,4
"Inger Lise Byrgesen, Ikast",Dansk Folkeparti,4
"Carsten Dalgaard, Ikast",Konservative,2
"Dan Albrechtsen, Ikast",Dansk Folkeparti,0
"Otto de Bruijn, Brande",L,0
