kandidat,parti,stemmer
Ole Vind,Venstre,772
Finn Kejfe Abrahamsen,Socialdemokratiet,576
Merete Skovgaard,Venstre,550
Birgit Jakobsen,Kristendemokraterne,357
Kasper Glyngø,Socialdemokratiet,320
Julie Maaløe,Socialdemokratiet,308
Ove Kjærskov Nielsen,Dansk Folkeparti,305
Rune H. Mikkelsen,Danmarksdemokraterne,287
Steffan Rosenhede Jensen,SF,277
Jens Seerup Nielsen,Kristendemokraterne,263
Peter Sebastian Petersen,Venstre,248
Lars Jensen,Konservative,241
Pia Grønvang Stilling,Venstre,231
Hans Kristian Skibby,Danmarksdemokraterne,223
Steen Christensen,Socialdemokratiet,222
Jens Peter Høllsberg,Venstre,206
Diana Sofie Beurze,Liberal Alliance,178
Line Marotzke,SF,88
Claus Græsholm,Enhedslisten,86
Magnus Nielsen,Liberal Alliance,68
Jeppe Mouritsen,Venstre,58
Allan Mølgaard Grosbøl,Socialdemokratiet,55
Kirsten Sander Iversen,Danmarksdemokraterne,53
Dorrit Haulrich,Socialdemokratiet,52
Mads-Peder Winther Søby,SF,51
Simon Bendfeldt,Venstre,50
Claus E. Nielsen,Venstre,50
Annette Bolvig,Venstre,50
Jesper Flensted,Dansk Folkeparti,49
Marlene Rønnow Jørgensen,Konservative,47
Hanne Grangaard,Socialdemokratiet,45
Liselotte Hillestrøm,Socialdemokratiet,41
Lars Poulsen,Venstre,40
Herluf Møller,Danmarksdemokraterne,40
Tobias Daugaard,Liberal Alliance,36
Jeanette Hjerrild Würtz,Venstre,34
Søren Vanting,Moderaterne,32
Jacob Ejs,Socialdemokratiet,31
René Majland Bidstrup,Kristendemokraterne,29
Henrik Alleslev,Socialdemokratiet,28
Kenneth Lohmann,Kristendemokraterne,28
Claus Thaisen,Socialdemokratiet,26
Britta Thomsen,Kristendemokraterne,22
Jakob Toftebjerg,Venstre,22
Helle Obenhausen Mortensen,Socialdemokratiet,21
Mette Herløv Jepsen,Venstre,21
Mads Damgaard Mortensen,Alternativet,21
Mikael Mogensen,Enhedslisten,18
Louise Stenmann,Socialdemokratiet,18
Thrine Rimdal Nørgaard,Venstre,16
Søren Moss Rasmussen,Venstre,16
Torben Gregersen,Socialdemokratiet,15
Pia Kristoffersen,Danmarksdemokraterne,12
Jens Ottosen,Venstre,12
Viggo Kjær Poulsen,Venstre,12
Knud Aage Jensen,G,11
Claus Sørensen,Konservative,10
Jørgen Brandt,Konservative,10
Anders Bruhn Olesen,SF,10
Erik Morell,Enhedslisten,10
Kurt Lundstad,Dansk Folkeparti,8
Hans Vacker,Venstre,8
Kim Tuominen,Venstre,7
Ronny Roy Nielsen,SF,7
Kennet Bøeg-Jensen,Dansk Folkeparti,7
Laurids Madsen,Kristendemokraterne,6
Sandie Tøttrup,Liberal Alliance,5
Lars Juul Jensen,Enhedslisten,5
Morten Blenker,Venstre,2
Jan Løvbjerg,J,2
Kurt Vind Christiansen,Liberal Alliance,2
Boye Høj,Dansk Folkeparti,2
Knud Capion,Kristendemokraterne,2
Dennis Ørnfelt,Enhedslisten,1
Ulrik Thomsen,Moderaterne,1
Jette-Kirsten Larsen,Konservative,0
Frank Lynge Jensen,Konservative,0
Troels Demant,Konservative,0
Tonni Olesen,Konservative,0
