kandidat,parti,stemmer
Per Bach Laursen,Venstre,1610
"Per Nyborg, Aars",Konservative,910
"Signe Nøhr, Hornum",Konservative,826
"Liselotte Lynge, Løgstør",Danmarksdemokraterne,592
"Annemette Bach, Ranum",SF,501
"Allan Ritter, Løgstør",Konservative,478
"Asger Andersen, Vegger",Socialdemokratiet,471
Jimmy Støttrup,Venstre,456
"Henrik Harris Sloth, Løgstør",Socialdemokratiet,325
Jakob Dyrman,Venstre,303
Thomas Nordahl,Venstre,299
"Birgitte Sørensen, Aars",Danmarksdemokraterne,272
Lars Andresen,Venstre,267
"Christina Haaning Normand, Aars",SF,260
Benny Hansen,Venstre,229
"Kenneth Nyholm, Aars",Socialdemokratiet,206
Jens Jørn Nielsen,Venstre,195
"Henrik Dalgaard, Aars",Konservative,185
"Torsten Ployart Wetche, Farsø",Radikale,157
Mette Marie Frandsen,Venstre,157
Jakob Ræbild Nørgaard,Venstre,144
Søren Friis,Venstre,140
"Lars Rem, Hvalpsund",Liberal Alliance,135
"Henrik Terp, Aars",Socialdemokratiet,128
"Lesia Havryliuk, Farsø",Socialdemokratiet,127
Susanne Hansen,Venstre,122
Lene Ladegaard,Venstre,121
"Pia Risgård, Aars",Socialdemokratiet,116
"Jeppe Korreborg Pedersen, Aalestrup",Konservative,98
"Anders Kjær Kristensen, Vognsild",Socialdemokratiet,96
"Charlotte Bøvling, Aars",Konservative,96
"Mikael Lisberg Toft, Aars",Socialdemokratiet,94
"Jens Chr. Pedersen, Farsø",Socialdemokratiet,91
Søren Dolmer,Venstre,88
Morten Høgh,Venstre,87
"Anne-Marie Jørgensen, Vilsted",Kristendemokraterne,80
"Laila Flyvholm Jensen, Vognsild",Socialdemokratiet,73
"Ann Britt Frederiksen, Vester Hornum",Socialdemokratiet,71
"Birgitte Juel, Blære",Liberal Alliance,71
"Nicklas Ådén Poulsen, Farsø",Konservative,66
"Maria Bjerregaard, Vestrup",Konservative,63
"Jørgen Smith Nielsen, Farsø",Danmarksdemokraterne,63
"Tom Larsen, Gedsted",Danmarksdemokraterne,58
"Vibeke Hvidsten, Hvalpsund",Socialdemokratiet,56
"Anna-Mette Skovgaard Pedersen, Løgstør",SF,56
Per Bisgaard,Venstre,52
"Martin Riisgaard-Jensen, Ranum",Danmarksdemokraterne,48
"Karsten Kjærgaard, Ranum",Radikale,46
Niels Peter Hougaard,Dansk Folkeparti,45
"Steffen Lønsmann, Vester Hornum",Konservative,44
"Anette Borup Fristrup, Farsø",Konservative,42
"Ulrik Mark Jensen, Gundersted",Konservative,39
Niels M. Christensen,L,37
"Erik Bernth Nielsen, Ranum",SF,34
Mai-Britt Hansen,Dansk Folkeparti,32
"Henrik Struntze, Aalestrup",Danmarksdemokraterne,26
"Flemming Jensen, Overlade",Danmarksdemokraterne,25
"Hans Jørgen Møller, Aalestrup",Socialdemokratiet,24
"Troels Bjørn, Ranum",SF,23
Janne Kristensen,Dansk Folkeparti,17
Flemming H. Sørensen,Dansk Folkeparti,17
"Ilse Skadhauge Larsen, Hornum",Konservative,14
"Niels Carøe Skinnerup, Aalestrup",Socialdemokratiet,14
"Vittus Bernlow, Aars",Konservative,13
Bent Larsen,L,13
Ole B. Sørensen,Venstre,12
"Rasmus Byrith, Borup",Konservative,9
"Henriette Frænde, Flejsborg",Kristendemokraterne,9
Jonna Vall,L,8
Poul Hjul Andersen,Venstre,7
"Morten Lindblad, Gundersted",Socialdemokratiet,3
Frank Krogstrup,L,2
Dennis Krogstrup,L,2
Rudi Jensen,L,2
