bogstav,procent_25,procent_21,partier,listebogstav
ALT,4.7424047621458,2.9258764933754358,Alternativet,Å
D,0.07288998673807186,,D,D
DD,0.5790704501969042,,Danmarksdemokraterne,Æ
DF,3.8722805454600677,1.922914157361893,Dansk Folkeparti,O
E,0.029864647344071106,,E,E
EL,21.323864384130232,24.6420781926495,Enhedslisten,Ø
FG,1.9401897164377044,0.1318402291741267,Frie Grønne,Q
J,0.14831087579343788,,J,J
K,11.755535083367922,13.077248608353138,Konservative,C
KD,0.21968232114113326,0.3864058074807123,Kristendemokraterne,K
L,0.07643324998228368,,L,L
LA,5.447007967280495,2.7435788925420748,Liberal Alliance,I
M,1.5413195112321445,,Moderaterne,M
N,0.09313720527642515,,N,N
P,0.09921137083793113,,P,P
R,0.33407910588282935,,R,R
R,10.283562295629638,11.943097106025586,Radikale,B
SF,17.665191994249792,11.010775090334972,SF,F
S,13.1525931625143,17.212148832969824,Socialdemokratiet,A
T,0.2753621721216048,,T,T
U,0.033407910588282935,,U,U
V,6.2184269935917555,7.675380057944594,Venstre,V
Y,0.06985290395731886,,Y,Y
Z,0.02632138409985928,,Z,Z
