bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.7741066049402292,0.7888707037643208,Alternativet,Å
D,0.050734058407584735,,D,D
DD,0.2790373212417161,,Danmarksdemokraterne,Æ
DF,1.4237245140628467,0.6955810147299509,Dansk Folkeparti,O
E,0.068173890985192,,E,E
EL,15.805244633287884,17.545008183306056,Enhedslisten,Ø
J,0.22037606620794623,,J,J
K,33.6715603893839,40.2733224222586,Konservative,C
KD,0.05231949773282176,0.1718494271685761,Kristendemokraterne,K
LA,2.75866442591242,1.2585924713584289,Liberal Alliance,I
M,1.1383454355201825,,Moderaterne,M
R,9.08139645495767,9.30605564648118,Radikale,B
SF,7.958905412689857,4.667757774140753,SF,F
S,20.71376478422171,17.050736497545007,Socialdemokratiet,A
T,0.04597774043187367,,T,T
V,4.957668770016172,5.896890343698854,Venstre,V
