bogstav,procent_25,procent_21,partier,listebogstav
D,0.8797653958944283,,D,D
DF,9.875196071745208,4.5607972353933945,Dansk Folkeparti,O
E,0.784286980836118,,E,E
EL,6.574370865443633,6.449409306437354,Enhedslisten,Ø
K,7.9178885630498534,12.4527846982239,Konservative,C
LA,6.0765191297824455,0.7755364461946476,Liberal Alliance,I
M,2.77569392348087,,Moderaterne,M
R,7.065402714314942,4.1509282327413,Radikale,B
SF,11.97572120302803,7.064212810415495,SF,F
S,39.86905817363432,50.77955476975006,Socialdemokratiet,A
V,6.2060969787901525,7.614723137507032,Venstre,V
