bogstav,procent_25,procent_21,partier,listebogstav
DD,1.950976950976951,,Danmarksdemokraterne,Æ
DF,6.964431964431965,3.417294048393593,Dansk Folkeparti,O
EL,11.553761553761554,10.614369365182638,Enhedslisten,Ø
K,5.82953082953083,11.658456486042692,Konservative,C
L,3.22042822042822,,L,L
LA,4.618579618579618,1.5305015955634045,Liberal Alliance,I
M,1.678951678951679,,Moderaterne,M
R,10.863460863460864,7.655606159184558,Radikale,B
SF,16.18989118989119,11.37962016296434,SF,F
S,24.976599976599974,32.94296248102364,Socialdemokratiet,A
V,12.153387153387154,13.179663537503489,Venstre,V
