bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.3701539060977985,,Alternativet,Å
D,0.19481784531463084,,D,D
DD,2.104032729398013,,Danmarksdemokraterne,Æ
DF,6.487434248977205,3.779628443305574,Dansk Folkeparti,O
EL,4.188583674264563,4.173149080259907,Enhedslisten,Ø
K,7.305669199298656,9.417040358744394,Konservative,C
LA,5.513345022404052,1.0249839846252402,Liberal Alliance,I
M,1.1494252873563218,,Moderaterne,M
R,3.935320475355543,4.7222476434519995,Radikale,B
SF,8.357685563997661,4.356181934657271,SF,F
S,35.16462107929087,35.883591104603276,Socialdemokratiet,A
U,7.7537502435223065,,U,U
V,17.475160724722386,24.52640248924682,Venstre,V
