bogstav,procent_25,procent_21,partier,listebogstav
DF,8.700772911299227,5.245294662141315,Dansk Folkeparti,O
EL,11.564225248435775,11.045973464979944,Enhedslisten,Ø
K,10.26867868973132,13.452638074668313,Konservative,C
L,6.352594773647405,,L,L
LA,3.923444976076555,0.8870718913915459,Liberal Alliance,I
R,7.876334192123665,7.806232644245603,Radikale,B
SF,19.44792050055208,18.24282628818266,SF,F
S,28.00147221199853,34.07127429805615,Socialdemokratiet,A
T,0.8538829591461171,,T,T
V,3.0106735369893265,4.404504782474545,Venstre,V
