bogstav,procent_25,procent_21,partier,listebogstav
DF,9.130584587113816,4.107264086897488,Dansk Folkeparti,O
EL,7.231729259982389,5.668703326544467,Enhedslisten,Ø
FG,0.8039508441483865,,Frie Grønne,Q
K,41.19290991922208,44.59012219959267,Konservative,C
LA,2.0481604839018415,1.7778343516632722,Liberal Alliance,I
M,1.0681061215114276,,Moderaterne,M
R,9.754603575667089,4.319416157501697,Radikale,B
SF,8.35726044179013,5.308044806517312,SF,F
S,18.513839439531413,27.51612355736592,Socialdemokratiet,A
V,1.8988553271314268,2.98285811269518,Venstre,V
