bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.8829136149292667,,Alternativet,Å
DF,3.4513895856325876,1.08776828911907,Dansk Folkeparti,O
EL,4.981438747867965,5.11088742409975,Enhedslisten,Ø
K,44.88813083174476,46.00772802545702,Konservative,C
LA,4.499849503361092,1.802123583465922,Liberal Alliance,I
M,1.31433731313334,,Moderaterne,M
R,12.451088592354772,10.257492612916842,Radikale,B
SF,12.686866659977927,14.050069811994677,SF,F
S,9.506371024380456,12.553170763386042,Socialdemokratiet,A
V,5.28243202568476,5.237523135370329,Venstre,V
Z,0.05518210093307917,,Z,Z
