bogstav,procent_25,procent_21,partier,listebogstav
DD,2.230006835269993,,Danmarksdemokraterne,Æ
DF,8.732057416267942,3.748133930475581,Dansk Folkeparti,O
EL,11.782296650717704,7.736191085519301,Enhedslisten,Ø
K,13.371496924128504,19.897632757517595,Konservative,C
KD,0.9142173615857827,1.0130091703988058,Kristendemokraterne,K
L,0.19651401230348597,,L,L
LA,2.7170198222829804,,Liberal Alliance,I
M,2.0847573479152426,,Moderaterne,M
R,3.614149008885851,3.502879078694818,Radikale,B
SF,13.721804511278195,10.860524632117723,SF,F
S,37.83321941216678,45.52676476860738,Socialdemokratiet,A
V,2.802460697197539,4.334612923864364,Venstre,V
