bogstav,procent_25,procent_21,partier,listebogstav
DD,2.5200975521633096,,Danmarksdemokraterne,Æ
DF,14.605726673290578,7.361544461778472,Dansk Folkeparti,O
E,0.2800108391292566,,E,E
EL,8.30999909673923,8.731474258970358,Enhedslisten,Ø
K,7.555776352633005,9.467628705148206,Konservative,C
LA,5.211814650889711,0.8336583463338534,Liberal Alliance,I
M,3.7440158973895765,,Moderaterne,M
R,4.042091951946527,3.783151326053042,Radikale,B
SF,10.708156444765605,5.15308112324493,SF,F
S,33.4296811489477,39.674336973478944,Socialdemokratiet,A
T,3.739499593532653,,T,T
V,5.853129798572848,14.108814352574104,Venstre,V
