bogstav,procent_25,procent_21,partier,listebogstav
DD,2.7168914776210915,,Danmarksdemokraterne,Æ
DF,4.832158185162477,4.367783623459624,Dansk Folkeparti,O
EL,4.701870018393624,6.585219448465803,Enhedslisten,Ø
K,22.007204169221335,15.89986229299813,Konservative,C
KD,0.08430410790925812,0.6143850852724126,Kristendemokraterne,K
LA,5.778663396689148,1.564210303308499,Liberal Alliance,I
M,5.977927651747395,,Moderaterne,M
R,4.966278356836297,6.242717418170262,Radikale,B
SF,17.945278969957084,13.378764874121677,SF,F
S,18.31698344573881,24.649553334981107,Socialdemokratiet,A
V,12.672440220723482,21.60234454998058,Venstre,V
