bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.2227791701475912,,Alternativet,Å
DD,2.134967047247749,,Danmarksdemokraterne,Æ
DF,5.133203378817414,3.252066635894423,Dansk Folkeparti,O
E,8.734799962870138,,E,E
EL,5.133203378817414,4.389240904703957,Enhedslisten,Ø
K,7.24960549521953,12.66837312743905,Konservative,C
L,19.502459853337044,,L,L
LA,5.096073517126149,1.791783811002476,Liberal Alliance,I
M,1.17887310869767,,Moderaterne,M
R,6.507008261394226,4.582266795350594,Radikale,B
SF,6.831894551192796,7.834333431245017,SF,F
S,15.808038615056159,22.999454492048173,Socialdemokratiet,A
V,16.467093660076117,18.73190382275188,Venstre,V
