bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.21542906939412,,Alternativet,Å
DD,2.591386506444067,,Danmarksdemokraterne,Æ
DF,10.700362335458422,6.948289003891363,Dansk Folkeparti,O
EL,3.394028344723203,4.741846190877362,Enhedslisten,Ø
K,8.113562353804522,9.150720102699882,Konservative,C
LA,17.740677888363987,,Liberal Alliance,I
M,0.6283538962528092,,Moderaterne,M
R,3.132596431683713,3.3898985036306013,Radikale,B
SF,12.727606292712013,7.558069563124323,SF,F
S,18.35068568545613,29.51016969551089,Socialdemokratiet,A
V,21.180571480988856,24.68006579211297,Venstre,V
W,0.22473971471815807,,W,W
