bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.3024428072896471,0.5877158256950576,Alternativet,Å
D,5.032958511050794,,D,D
DD,2.7840248158200853,,Danmarksdemokraterne,Æ
DF,6.459868165955797,3.842991564907579,Dansk Folkeparti,O
EL,3.7301279565723147,4.342397758762448,Enhedslisten,Ø
K,11.72547499030632,16.77273973019885,Konservative,C
KD,1.13997673516867,0.2375224580529248,Kristendemokraterne,K
L,0.8065141527723924,,L,L
LA,6.7623109732454445,1.0840768598312982,Liberal Alliance,I
M,1.1322217913920125,,Moderaterne,M
R,3.0244280728964714,5.606139041992753,Radikale,B
SF,10.376114773167895,8.858369621486647,SF,F
S,19.464908879410626,31.757970705563505,Socialdemokratiet,A
V,27.258627374951534,22.936143000700387,Venstre,V
