bogstav,procent_25,procent_21,partier,listebogstav
ALT,2.2111841051113603,1.528358208955224,Alternativet,Å
DD,5.880467873738183,,Danmarksdemokraterne,Æ
DF,7.707098221438873,3.665671641791045,Dansk Folkeparti,O
EL,4.887037333760615,5.283582089552239,Enhedslisten,Ø
K,7.610959782086205,6.262686567164179,Konservative,C
LA,4.87101426053517,,Liberal Alliance,I
M,1.6023073225444642,,Moderaterne,M
R,0.22432302515622496,,R,R
R,1.6343534689953532,1.7492537313432834,Radikale,B
SF,7.867328953693319,9.194029850746269,SF,F
S,42.57330556000641,46.57313432835821,Socialdemokratiet,A
V,12.930620092933825,21.62985074626865,Venstre,V
