bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.7167534677460939,0.4358243483289957,Alternativet,Å
DD,1.2994379415252926,,Danmarksdemokraterne,Æ
DF,7.33254267003558,6.277109926880654,Dansk Folkeparti,O
EL,8.662919610168618,8.931300863386623,Enhedslisten,Ø
K,17.75382870107771,15.621514437972486,Konservative,C
L,2.212138400453772,,L,L
LA,6.9354921879028515,4.4036848845375305,Liberal Alliance,I
M,2.2379208992935595,,Moderaterne,M
R,5.213221265405043,6.843061924236792,Radikale,B
SF,15.974836281132369,9.503449415458338,SF,F
S,20.801320063940597,28.031148015036973,Socialdemokratiet,A
V,10.859588511318517,15.972652538521912,Venstre,V
