bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.020279101142544,0.7200837915684735,Alternativet,Å
D,0.2529617606138539,,D,D
DD,3.8155065559256287,,Danmarksdemokraterne,Æ
DF,10.28289556895316,4.464519507724535,Dansk Folkeparti,O
E,0.21080146717821158,,E,E
EL,4.393102575993929,5.346076634371999,Enhedslisten,Ø
G,10.902651882457102,,G,G
K,25.194991357139845,22.780832678711704,Konservative,C
KD,0.3583624942029596,,Kristendemokraterne,K
L,0.8980142501791812,,L,L
LA,4.679792571356297,,Liberal Alliance,I
M,5.565158733504785,,Moderaterne,M
N,0.14756102702474808,,N,N
R,4.178085079472154,3.478222920485293,Radikale,B
SF,9.772756018381887,8.296238107707078,SF,F
S,10.008853661621485,12.04067382386314,Socialdemokratiet,A
U,0.45111513976137274,,U,U
V,7.867110755090856,19.20223444182596,Venstre,V
