bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.9539384028345598,,Alternativet,Å
DD,7.527936767511584,,Danmarksdemokraterne,Æ
DF,10.13355137639684,7.372872167407568,Dansk Folkeparti,O
EL,4.366312346688471,5.112219451371571,Enhedslisten,Ø
K,4.813300626873807,5.318226173696194,Konservative,C
L,1.8697192695557374,,L,L
LA,4.066503134369038,0.4228559037189635,Liberal Alliance,I
M,0.9212319433088034,,Moderaterne,M
N,11.850640501499047,,N,N
R,13.545925320250749,6.304889949040442,Radikale,B
SF,12.831834287271738,5.600130109508837,SF,F
S,20.724993186154265,36.5553507535509,Socialdemokratiet,A
V,6.3941128372853635,13.93255990458636,Venstre,V
