bogstav,procent_25,procent_21,partier,listebogstav
DD,6.884583278414833,,Danmarksdemokraterne,Æ
DF,10.27195641667765,7.021107128634011,Dansk Folkeparti,O
E,1.4718158253152323,,E,E
EL,4.235314792847414,5.420151334129828,Enhedslisten,Ø
K,3.2731426562980537,4.862604540023894,Konservative,C
L,3.580686261587804,,L,L
LA,4.679056280479768,0.350457984866587,Liberal Alliance,I
M,0.6106937305039322,,Moderaterne,M
N,1.8979833926453145,,N,N
R,3.1457317341065862,3.44484269215452,Radikale,B
SF,11.73059180176618,8.148148148148149,SF,F
S,18.51851851851852,26.0294703305456,Socialdemokratiet,A
V,29.699925310838715,34.95818399044205,Venstre,V
