bogstav,procent_25,procent_21,partier,listebogstav
D,1.4761306532663316,,D,D
DD,2.9156197654941374,,Danmarksdemokraterne,Æ
DF,4.292294807370185,3.758015054362977,Dansk Folkeparti,O
EL,5.239740368509213,5.676052411485921,Enhedslisten,Ø
K,40.52554438860972,25.01812099247282,Konservative,C
KD,0.8636934673366834,2.431000836353499,Kristendemokraterne,K
L,0.7537688442211055,,L,L
LA,2.365996649916248,0.802899358795651,Liberal Alliance,I
N,0.18320770519262983,,N,N
R,2.1670854271356785,3.1223863953164206,Radikale,B
SF,7.919807370184255,7.633119598550321,SF,F
S,16.153685092127304,20.970170058544745,Socialdemokratiet,A
V,15.143425460636518,25.921382771117923,Venstre,V
