bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.0045797015807358,,Alternativet,Å
DD,5.857586054070025,,Danmarksdemokraterne,Æ
DF,8.73836608066184,6.916471506635441,Dansk Folkeparti,O
EL,3.205791106514995,6.549570647931303,Enhedslisten,Ø
K,14.847097060127048,13.59094457455113,Konservative,C
LA,5.237110356034865,0.8821233411397347,Liberal Alliance,I
M,4.202984192642932,,Moderaterne,M
R,3.2131777219677944,5.620608899297424,Radikale,B
SF,8.324715615305067,5.323965651834504,SF,F
S,25.62416900576156,24.519906323185012,Socialdemokratiet,A
V,19.744423105333137,23.84074941451991,Venstre,V
