bogstav,procent_25,procent_21,partier,listebogstav
D,3.270500089195457,,D,D
DD,3.9900101088184576,,Danmarksdemokraterne,Æ
DF,5.547957424035203,4.573563514558104,Dansk Folkeparti,O
EL,8.984955699589701,4.605771708322597,Enhedslisten,Ø
K,10.293155735267884,29.573563514558103,Konservative,C
L,0.15460545876196707,,L,L
LA,4.406255574716061,1.0177789229580003,Liberal Alliance,I
M,2.842361895700779,,Moderaterne,M
R,3.6034964619135397,2.9502705488276217,Radikale,B
SF,8.384372955937444,9.829940736923474,SF,F
S,25.016352500445976,30.301468693635663,Socialdemokratiet,A
V,23.50597609561753,10.609379026024222,Venstre,V
