bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.7729864575908767,,Alternativet,Å
DD,3.6350677120456165,,Danmarksdemokraterne,Æ
DF,4.668567355666429,3.490886623416744,Dansk Folkeparti,O
EL,8.472915181753386,6.938523324065493,Enhedslisten,Ø
K,6.780114041339985,13.60518999073216,Konservative,C
L,2.833214540270848,,L,L
LA,5.452601568068425,1.5878900216249614,Liberal Alliance,I
M,0.6682109764789737,,Moderaterne,M
N,3.171774768353528,,N,N
R,4.419101924447612,3.886314488724128,Radikale,B
SF,21.8104062722737,15.16218721037998,SF,F
S,11.511047754811118,21.556997219647823,Socialdemokratiet,A
V,24.803991446899502,28.16187828236021,Venstre,V
