bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.7838501975178077,0.2520172943978174,Alternativet,Å
DD,3.328252822793866,,Danmarksdemokraterne,Æ
DF,9.403091853556877,3.958289981734527,Dansk Folkeparti,O
EL,4.105881986998041,3.893551594182793,Enhedslisten,Ø
K,13.104606675168744,15.410048322582137,Konservative,C
LA,9.770132819061246,1.3155765184620007,Liberal Alliance,I
M,0.9393760303586426,,Moderaterne,M
R,5.073252667268034,5.597558437955192,Radikale,B
SF,6.541416529285514,5.051906314304872,SF,F
S,30.532831503312703,39.31932209659893,Socialdemokratiet,A
V,16.417306914678527,18.034265103697024,Venstre,V
