bogstav,procent_25,procent_21,partier,listebogstav
DD,4.164576016056197,,Danmarksdemokraterne,Æ
DF,7.437569956385811,4.233268226571531,Dansk Folkeparti,O
E,0.32035200123509205,,E,E
EL,6.692655061947586,7.28664248415514,Enhedslisten,Ø
K,5.168088309081787,11.121297883365887,Konservative,C
L,1.5554440541896637,,L,L
LA,13.026361496005249,,Liberal Alliance,I
M,2.308078273958856,,Moderaterne,M
R,2.636149600524914,3.2128193885279233,Radikale,B
SF,12.038287853641592,7.820783672818592,SF,F
S,23.127098691574357,35.56025032885558,Socialdemokratiet,A
V,21.525338685398896,22.701000518196675,Venstre,V
