bogstav,procent_25,procent_21,partier,listebogstav
DD,1.8523407250967967,,Danmarksdemokraterne,Æ
DF,19.865364308342134,15.310291989444114,Dansk Folkeparti,O
E,0.33438929954241464,,E,E
EL,8.949313621964098,23.06971992849238,Enhedslisten,Ø
FG,0.5587821189721929,,Frie Grønne,Q
J,1.3727560718057021,,J,J
K,9.569693769799366,12.32655145994722,Konservative,C
KD,3.977472720872932,4.192559802502767,Kristendemokraterne,K
LA,1.3243576205561423,,Liberal Alliance,I
M,2.1955297430482226,,Moderaterne,M
R,2.305526223160859,1.8855878096535288,Radikale,B
SF,9.57409362900387,2.902868817570444,SF,F
S,22.11369236184442,15.391163701370564,Socialdemokratiet,A
V,16.00668778599085,9.555631224993617,Venstre,V
