bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.6111568635949893,0.7013183008566736,Alternativet,Å
D,0.5851501885483941,,D,D
DD,5.504746218196003,,Danmarksdemokraterne,Æ
DF,5.604438472541286,5.162235341115895,Dansk Folkeparti,O
EL,4.083047982315461,3.391184695281637,Enhedslisten,Ø
K,5.474405097308309,7.940876204003729,Konservative,C
L,0.15604005027957177,,L,L
LA,6.0768930692211,,Liberal Alliance,I
R,3.0731221013393437,2.4501753295752144,Radikale,B
SF,10.120931038966669,6.476097474366373,SF,F
S,18.95019721728577,27.329220116294557,Socialdemokratiet,A
V,39.7598717004031,41.661858049624925,Venstre,V
