bogstav,procent_25,procent_21,partier,listebogstav
DD,5.370001809299801,,Danmarksdemokraterne,Æ
DF,7.725710150171884,7.382142857142856,Dansk Folkeparti,O
EL,4.302514926723358,4.596428571428572,Enhedslisten,Ø
K,7.570110367287859,12.35,Konservative,C
L,5.417043604125204,,L,L
LA,3.8574271756830107,,Liberal Alliance,I
M,0.502985344671612,,Moderaterne,M
R,3.795910982449792,5.296428571428572,Radikale,B
SF,9.209335986973041,6.192857142857143,SF,F
S,33.31282793558893,36.582142857142856,Socialdemokratiet,A
V,18.93613171702551,18.428571428571427,Venstre,V
