bogstav,procent_25,procent_21,partier,listebogstav
ALT,1.3427109974424554,,Alternativet,Å
DD,6.010230179028133,,Danmarksdemokraterne,Æ
DF,9.07928388746803,2.0215991913603237,Dansk Folkeparti,O
EL,1.9820971867007673,3.213278714688514,Enhedslisten,Ø
FG,0.3836317135549872,,Frie Grønne,Q
K,4.028132992327365,3.3356386657445336,Konservative,C
L,1.854219948849105,,L,L
LA,3.5166240409207163,0.4415598233760707,Liberal Alliance,I
N,0.2557544757033248,,N,N
R,1.9820971867007673,1.7821992871202852,Radikale,B
SF,12.65984654731458,7.006437197425121,SF,F
S,20.076726342710998,27.43522902590839,Socialdemokratiet,A
V,36.828644501278774,52.00829919668032,Venstre,V
