bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.8577077397220445,1.1374607772145788,Alternativet,Å
D,0.5466069663313369,,D,D
DD,4.105367215211955,,Danmarksdemokraterne,Æ
DF,6.11734604872943,3.5059135891865796,Dansk Folkeparti,O
E,0.37797290225039254,,E,E
EL,12.79002151538059,10.614289162442676,Enhedslisten,Ø
J,0.12502180612897598,,J,J
K,7.29196952956911,9.455708423847453,Konservative,C
LA,4.602546955864395,0.9322954380883418,Liberal Alliance,I
R,5.178228760830377,5.17137340091721,Radikale,B
SF,10.205268360760599,7.452329230026551,SF,F
S,32.243996045821945,35.8948829350712,Socialdemokratiet,A
V,15.557946153398849,19.786386676321506,Venstre,V
