bogstav,procent_25,procent_21,partier,listebogstav
D,1.3676980122788889,,D,D
DD,8.206188073673333,,Danmarksdemokraterne,Æ
DF,6.552793143273965,6.4381945737877935,Dansk Folkeparti,O
E,0.38295544343808885,,E,E
EL,1.7871254027110812,1.7818339852238156,Enhedslisten,Ø
K,5.884140781715398,8.00273173154529,Konservative,C
LA,3.5195428849310075,,Liberal Alliance,I
R,3.142666099325269,3.048364065313218,Radikale,B
SF,9.06935748586712,6.941081517352704,SF,F
S,21.28745972889186,28.06233314707891,Socialdemokratiet,A
V,38.80007294389399,42.57776122182902,Venstre,V
