bogstav,procent_25,procent_21,partier,listebogstav
DD,2.782632074203522,,Danmarksdemokraterne,Æ
DF,3.1993547519827934,3.594385412567231,Dansk Folkeparti,O
EL,3.8311601021642696,2.1776203594385413,Enhedslisten,Ø
K,33.848635569296945,10.074773711137349,Konservative,C
L,7.608549536227987,,L,L
LA,4.126898776717301,,Liberal Alliance,I
M,2.957386745530313,,Moderaterne,M
R,4.570506788546848,4.683195592286501,Radikale,B
SF,10.942330958462158,34.26472517381608,SF,F
S,14.047587041268988,13.682277318640956,Socialdemokratiet,A
V,12.08495765559887,28.74196510560147,Venstre,V
