bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.5290349245711924,1.2408196116569972,Alternativet,Å
D,0.23145277949989668,,D,D
DD,6.584004959702418,,Danmarksdemokraterne,Æ
DF,9.311841289522627,5.312049364499145,Dansk Folkeparti,O
EL,4.9142384790245925,4.352929340353466,Enhedslisten,Ø
K,9.845009299442035,13.001777390254537,Konservative,C
KD,0.9547427154370738,1.6298333277440558,Kristendemokraterne,K
LA,5.930977474684853,0.3856601495690667,Liberal Alliance,I
R,2.992353792105807,4.795600120728395,Radikale,B
SF,7.402355858648481,3.4910627452295513,SF,F
SP,3.3891299855342014,2.7331567121633857,Slesvigsk Parti,S
S,22.025211820624097,30.18545222844495,Socialdemokratiet,A
V,25.88964662120273,26.898957040812903,Venstre,V
