bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.2122488103796515,,Alternativet,Å
DD,5.593783163876622,,Danmarksdemokraterne,Æ
DF,7.274656807367087,3.650501470866521,Dansk Folkeparti,O
E,0.9859299578925748,,E,E
EL,4.98784704392181,2.539180099434017,Enhedslisten,Ø
J,0.16260997569408783,,J,J
K,9.217418095922769,8.09750726831702,Konservative,C
L,0.3560302625723186,,L,L
LA,4.068672760261546,0.6846840647525332,Liberal Alliance,I
M,1.186196980589504,,Moderaterne,M
R,2.897880935264113,3.6539420943074887,Radikale,B
SF,7.250693232001643,9.552890983846272,SF,F
S,23.222416213070417,27.38736259010133,Socialdemokratiet,A
V,32.583615761185854,36.616834970496654,Venstre,V
