bogstav,procent_25,procent_21,partier,listebogstav
DD,7.853877828567112,,Danmarksdemokraterne,Æ
DF,5.643912205810132,4.517639948628843,Dansk Folkeparti,O
K,8.677420573457747,16.336783259046612,Konservative,C
KD,0.38154962033923917,3.233361033466798,Kristendemokraterne,K
LA,7.782101167315175,0.6685804940696533,Liberal Alliance,I
M,0.7366552075856598,,Moderaterne,M
N,6.694118091496354,,N,N
R,1.2315363983226928,3.0218327415577546,Radikale,B
SF,7.0114464886101775,3.1011558510236457,SF,F
S,16.595519625250272,20.62778575205862,Socialdemokratiet,A
V,37.39186279324544,39.0987383848304,Venstre,V
