bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.9302325581395349,,Alternativet,Å
DD,10.542635658914728,,Danmarksdemokraterne,Æ
DF,6.511627906976744,3.303571428571429,Dansk Folkeparti,O
K,7.286821705426356,23.34375,Konservative,C
LA,3.255813953488372,0.3348214285714285,Liberal Alliance,I
M,2.0155038759689923,,Moderaterne,M
R,0.6201550387596899,1.7500000000000002,Radikale,B
SF,4.341085271317829,3.446428571428571,SF,F
S,8.682170542635658,28.080357142857142,Socialdemokratiet,A
V,55.81395348837209,30.75,Venstre,V
