bogstav,procent_25,procent_21,partier,listebogstav
DD,6.672372475179733,,Danmarksdemokraterne,Æ
DF,11.389934953782952,5.858750611645735,Dansk Folkeparti,O
E,0.3320780554604587,,E,E
EL,1.359123587812393,1.7060838362420487,Enhedslisten,Ø
J,0.7771311194796303,,J,J
K,18.94899007189319,11.560919915185124,Konservative,C
KD,0.47586442998972955,0.7568096558473333,Kristendemokraterne,K
LA,4.508729887024991,0.5643451312999511,Liberal Alliance,I
M,1.2050667579596028,,Moderaterne,M
R,1.9239986306059567,,Radikale,B
SF,6.549127011297501,3.2523242537922035,SF,F
SP,5.741184525847313,7.362583591583754,Slesvigsk Parti,S
S,17.46319753509072,28.30859566139292,Socialdemokratiet,A
V,22.65320095857583,33.43663350187571,Venstre,V
