bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.5698005698005698,1.16914083532036,Alternativet,Å
DD,4.6008365157301325,,Danmarksdemokraterne,Æ
DF,10.73528520337031,7.66864087377894,Dansk Folkeparti,O
EL,9.013760077589865,7.030228443965848,Enhedslisten,Ø
G,0.17578953749166515,,G,G
J,2.533794023155725,,J,J
K,8.777353458204521,9.668487039458505,Konservative,C
LA,5.74649936352064,0.4730405353434351,Liberal Alliance,I
M,1.3638843426077467,,Moderaterne,M
P,0.2485300357640783,,P,P
R,2.127659574468085,2.176755634181986,Radikale,B
SF,9.468388191792448,4.318898546265672,SF,F
S,22.895071831242046,37.327897854011226,Socialdemokratiet,A
V,21.743347275262167,21.990616106453352,Venstre,V
