bogstav,procent_25,procent_21,partier,listebogstav
D,0.6993006993006993,,D,D
DD,6.643356643356643,,Danmarksdemokraterne,Æ
DF,17.132867132867133,4.977434192057699,Dansk Folkeparti,O
EL,3.8461538461538463,5.677082208641949,Enhedslisten,Ø
K,11.188811188811188,10.09091105400678,Konservative,C
L,1.048951048951049,,L,L
LA,8.041958041958042,3.070677406119761,Liberal Alliance,I
M,0.6993006993006993,,Moderaterne,M
R,2.797202797202797,3.556544084303268,Radikale,B
SF,5.594405594405594,5.5259236865404135,SF,F
S,31.46853146853147,38.536785506057136,Socialdemokratiet,A
T,0.34965034965034963,,T,T
V,10.48951048951049,24.045002051437088,Venstre,V
