bogstav,procent_25,procent_21,partier,listebogstav
DD,3.9032084173538046,,Danmarksdemokraterne,Æ
DF,12.582107133587558,7.629280048197611,Dansk Folkeparti,O
EL,4.450256553596741,2.9320212872778395,Enhedslisten,Ø
J,0.5949647613153114,,J,J
K,6.083414858146825,10.529169595340898,Konservative,C
KD,0.3893225787130393,0.7932523345717442,Kristendemokraterne,K
L,0.20763870864695433,,L,L
LA,7.013795994968755,1.6547846169294105,Liberal Alliance,I
M,1.5572903148521573,,Moderaterne,M
R,5.79591510771258,6.39622452053419,Radikale,B
SF,11.198514584622757,17.296917361180842,SF,F
S,15.618823247549265,17.708605281654783,Socialdemokratiet,A
V,30.604747738934257,31.780299226830007,Venstre,V
