bogstav,procent_25,procent_21,partier,listebogstav
D,0.26997506337200916,,D,D
DD,7.241926509078168,,Danmarksdemokraterne,Æ
DF,4.094965274199864,3.0299848815723163,Dansk Folkeparti,O
EL,1.0922655235661438,1.6903242062825463,Enhedslisten,Ø
K,5.012056138326155,4.539727868301697,Konservative,C
KD,2.56167178451456,4.52922896018814,Kristendemokraterne,K
L,3.4870061620262556,,L,L
LA,3.9713125734187913,1.287166134721989,Liberal Alliance,I
M,0.498732559816994,,Moderaterne,M
R,6.6525153020217225,5.959180245254494,Radikale,B
SF,8.661871689714157,4.678313455400638,SF,F
S,10.555818890010922,14.576684024861414,Socialdemokratiet,A
V,45.89988252993426,50.52494540567781,Venstre,V
