bogstav,procent_25,procent_21,partier,listebogstav
D,0.3947566671689017,,D,D
DD,6.8042790417357235,,Danmarksdemokraterne,Æ
DF,6.840439957812265,3.474903474903475,Dansk Folkeparti,O
K,4.884737080006027,6.554513697370839,Konservative,C
LA,4.318216061473557,0.4780290494576208,Liberal Alliance,I
M,0.7714328762995329,,Moderaterne,M
R,14.199186379388278,7.378807378807378,Radikale,B
SF,13.867711315353324,5.233805233805234,SF,F
S,20.403796896188037,38.282159710731136,Socialdemokratiet,A
V,27.515443724574357,30.90948090948091,Venstre,V
