bogstav,procent_25,procent_21,partier,listebogstav
ALT,3.4475796274796826,2.726602800294768,Alternativet,Å
DD,10.448740598657311,,Danmarksdemokraterne,Æ
DF,2.8418555348038965,2.8821747318431177,Dansk Folkeparti,O
EL,5.350562818636111,6.259723245721773,Enhedslisten,Ø
J,0.12114481853515724,,J,J
K,10.221594063903892,16.41693277654958,Konservative,C
LA,2.9428095502498612,,Liberal Alliance,I
R,2.69042451163495,4.806353885204291,Radikale,B
SF,12.286103679773863,13.653483992467043,SF,F
S,28.8980869214073,25.219028903627283,Socialdemokratiet,A
V,19.71631921659684,23.511831654794072,Venstre,V
Z,1.0347786583211347,,Z,Z
