bogstav,procent_25,procent_21,partier,listebogstav
DD,7.664692155806857,,Danmarksdemokraterne,Æ
DF,6.165858912224017,4.202738071270384,Dansk Folkeparti,O
EL,2.028361155986358,5.420777129051742,Enhedslisten,Ø
J,0.2154011847065159,,J,J
K,10.743134087237479,13.921884437286089,Konservative,C
LA,11.793214862681744,9.205758002818602,Liberal Alliance,I
M,0.5385029617662896,,Moderaterne,M
N,6.462035541195476,,N,N
SF,10.213606174833961,8.350110730823435,SF,F
S,19.76305869682283,31.4072881014697,Socialdemokratiet,A
V,24.412134266738466,19.528890678477957,Venstre,V
