bogstav,procent_25,procent_21,partier,listebogstav
DD,8.90310824840562,,Danmarksdemokraterne,Æ
DF,6.547026294044113,5.251619332336821,Dansk Folkeparti,O
E,5.252452486386846,,E,E
EL,2.8857766383456576,2.8839063278525163,Enhedslisten,Ø
FG,7.227154268279763,7.806676631788739,Frie Grønne,Q
J,0.34536093395766676,,J,J
K,6.1508146704239675,11.121076233183857,Konservative,C
KD,0.6144458334216157,0.8530144494270055,Kristendemokraterne,K
LA,4.468504354090302,0.9128051818634778,Liberal Alliance,I
M,1.0826959340636058,,Moderaterne,M
R,2.2586181325084222,3.063278525161933,Radikale,B
SF,14.456427315295464,5.06028898854011,SF,F
S,23.520562747632265,34.23019431988042,Socialdemokratiet,A
V,16.28705214314469,18.600896860986545,Venstre,V
