bogstav,procent_25,procent_21,partier,listebogstav
ALT,2.273696506712156,1.311310114707151,Alternativet,Å
DD,4.002725654527924,,Danmarksdemokraterne,Æ
DF,3.4867981903137286,2.729687167040015,Dansk Folkeparti,O
E,0.2136950233627531,,E,E
EL,8.676203367203145,9.897974563806178,Enhedslisten,Ø
FG,0.2466068382407476,0.0384609387587511,Frie Grønne,Q
J,0.07787584365497292,,J,J
K,8.354965512126382,14.592807804452113,Konservative,C
KD,0.2517058518133946,0.8076797139337745,Kristendemokraterne,K
LA,5.4758770303344955,1.8170194851431631,Liberal Alliance,I
M,1.526459244975154,,Moderaterne,M
N,0.3972595119780464,,N,N
P,0.0176147741600534,,P,P
R,0.17707483497737894,,R,R
R,7.038492917006602,9.23114504451594,Radikale,B
SF,15.250222502410443,13.741469727603,SF,F
S,30.53289327301046,28.73915687385332,Socialdemokratiet,A
T,0.17058518133946451,,T,T
V,11.829247941852703,11.868318061568688,Venstre,V
