bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.2588844433984467,0.2203596584425294,Alternativet,Å
DD,9.504197065976308,,Danmarksdemokraterne,Æ
DF,6.8486702753589075,8.28709715499941,Dansk Folkeparti,O
EL,2.14168039538715,1.880927084563019,Enhedslisten,Ø
G,0.17651212049894094,,G,G
J,0.18435710363222718,,J,J
K,2.6986741978504747,5.7214811317042455,Konservative,C
KD,4.895269475170629,5.359461692834376,Kristendemokraterne,K
LA,4.577547658272535,1.353637901861252,Liberal Alliance,I
M,0.8041107711618419,,Moderaterne,M
SF,5.750372636698831,2.4318262306693423,SF,F
S,24.472424884286497,32.90048400424979,Socialdemokratiet,A
V,37.68729897230721,35.93829929563609,Venstre,V
