bogstav,procent_25,procent_21,partier,listebogstav
DD,9.136420525657071,,Danmarksdemokraterne,Æ
DF,3.629536921151439,3.6796354122710775,Dansk Folkeparti,O
EL,8.1351689612015,3.928601569752722,Enhedslisten,Ø
K,31.289111389236545,21.119925732129293,Konservative,C
LA,6.382978723404255,1.7596421638956874,Liberal Alliance,I
R,1.376720901126408,2.0297071482825553,Radikale,B
SF,13.76720901126408,3.2112414549751036,SF,F
S,13.892365456821027,34.808844628238674,Socialdemokratiet,A
T,1.1264080100125156,,T,T
V,11.264080100125156,22.79939235378513,Venstre,V
