bogstav,procent_25,procent_21,partier,listebogstav
ALT,3.221663670054673,1.7941418117201977,Alternativet,Å
DD,11.272153524382638,,Danmarksdemokraterne,Æ
DF,4.298609327413496,2.6730611231060246,Dansk Folkeparti,O
EL,2.8767475140351517,3.005521906108489,Enhedslisten,Ø
K,22.619528125343997,22.47549534745973,Konservative,C
KD,0.3449161560195208,0.8120450159542961,Kristendemokraterne,K
LA,5.15539573624922,0.8712765347650802,Liberal Alliance,I
M,1.0989615822111327,,Moderaterne,M
R,1.0806149781675412,1.6584825267019507,Radikale,B
SF,7.134994312552746,5.176070466400443,SF,F
S,18.542912706857962,23.329575634828135,Socialdemokratiet,A
T,1.267750339412175,,T,T
U,0.0311892268741056,,U,U
V,18.88966352328184,34.254924814184996,Venstre,V
Y,2.1648992771438005,,Y,Y
