bogstav,procent_25,procent_21,partier,listebogstav
DD,12.562477456587828,,Danmarksdemokraterne,Æ
DF,2.318750966146236,3.455453788509576,Dansk Folkeparti,O
K,24.140773947544698,23.860324729392172,Konservative,C
KD,0.6440974905961766,0.5776436303080766,Kristendemokraterne,K
L,0.597722471273252,,L,L
LA,2.3548204256196215,,Liberal Alliance,I
R,1.7674035141959088,2.019150707743547,Radikale,B
SF,7.3839336321945686,11.906744379683596,SF,F
S,16.59195135775751,17.89654454621149,Socialdemokratiet,A
V,31.638068738084197,31.77039966694421,Venstre,V
