bogstav,procent_25,procent_21,partier,listebogstav
DD,8.492114139848663,,Danmarksdemokraterne,Æ
DF,4.786215698787492,3.4787817352439756,Dansk Folkeparti,O
K,13.064089707357097,5.579873750172787,Konservative,C
KD,0.6883034004922964,0.963000506842372,Kristendemokraterne,K
L,1.950952684839092,,L,L
LA,4.840915306773635,,Liberal Alliance,I
P,0.027349803993071384,,P,P
R,0.8387273224541891,0.6819333732663687,Radikale,B
SF,6.541161455009573,2.8659632308897387,SF,F
S,25.17549457562221,28.558263834492926,Socialdemokratiet,A
T,1.15325006837451,,T,T
V,32.441425836448175,46.00285674791503,Venstre,V
