bogstav,procent_25,procent_21,partier,listebogstav
ALT,0.554222708920227,0.3185047775716635,Alternativet,Å
D,0.4957074907838531,,D,D
DD,6.4400177217517784,,Danmarksdemokraterne,Æ
DF,3.7650363212318285,4.097686465296979,Dansk Folkeparti,O
E,0.0952962123935232,,E,E
EL,6.292057813035519,8.249623744356166,Enhedslisten,Ø
K,9.33819288287761,11.120541808127122,Konservative,C
KD,0.4723014035293036,0.7288859332889993,Kristendemokraterne,K
LA,7.326105310674012,2.168282524237864,Liberal Alliance,I
M,1.1778277479164403,,Moderaterne,M
R,6.570423065027126,7.048230723460852,Radikale,B
SF,9.796283447716652,5.5589583843757655,SF,F
S,32.18838556513162,36.880928213923205,Socialdemokratiet,A
V,15.488142309010508,18.78653179797697,Venstre,V
