bogstav;parti;procent_25;procent_21
ALT;Alternativet;1.1004974397072793;0.7096658660595134
DD;Danmarksdemokraterne;4.65579242234434;
DF;Dansk Folkeparti;5.920014692545284;4.092778894799443
EL;Enhedslisten;7.0761312783835;7.33777990351912
K;Konservative;12.70075947314449;15.242418168223354
LA;Liberal Alliance;5.506848280121484;1.381962149210851
M;Moderaterne;1.3207320597541885;
R;Radikale;5.369474210191234;5.586687879463989
SF;SF;11.056754562935167;7.612384810851299
S;Socialdemokratiet;23.166065379983802;28.4039917450138
V;Venstre;17.858782650143286;21.18061975866503
Andre;Andre;4.268147550745945;
