kandidat,parti,kommune,stemmer
Anders Winnerskjold,Socialdemokratiet,Aarhus Kommune,38064
Peter Rahbæk Juel,Socialdemokratiet,Odense Kommune,16208
Lasse Frimand Jensen,Socialdemokratiet,Aalborg Kommune,15943
Christina Krzyrosiak Hansen,Socialdemokratiet,Holbæk Kommune,15785
Carsten Rasmussen,Socialdemokratiet,Næstved Kommune,7520
Michael Fenger,Konservative,Gentofte Kommune,7312
Jens Ejner Christensen,Venstre,Vejle Kommune,7113
Lars Christian Lilleholt,Venstre,Odense Kommune,7026
Peter Sørensen,Socialdemokratiet,Horsens Kommune,6681
Jesper Frost Rasmussen,Venstre,Esbjerg Kommune,6667
Line Barfod,Enhedslisten,Københavns Kommune,6448
Christian Budde,Venstre,Aarhus Kommune,6418
Sisse Marie Welling,SF,Københavns Kommune,6377
Thomas Medom,SF,Aarhus Kommune,6337
Sofia Osmani,Konservative,Lyngby-Taarbæk Kommune,6158
Dorte West,Venstre,Herning Kommune,5959
Helle Gade,Socialdemokratiet,Silkeborg Kommune,5956
Jakob Ville,Venstre,Kolding Kommune,5779
Erik Lauritzen,Socialdemokratiet,Sønderborg Kommune,5428
Bo Hansen,Socialdemokratiet,Svendborg Kommune,5427
Michael Ziegler,Konservative,Høje-Taastrup Kommune,4990
Martin Sikær,Socialdemokratiet,Vejle Kommune,4963
Jakob Søgaard Clausen,Danmarksdemokraterne,Aarhus Kommune,4582
Liv Gro Jensen,SF,Aarhus Kommune,4489
Andreas Karlsen,Konservative,Ringsted Kommune,4330
Benedikte Kiær,Konservative,Helsingør Kommune,4320
Sarah Jarsbo,Enhedslisten,Aarhus Kommune,4113
Søren Steen Andersen,Venstre,Assens Kommune,4101
Gert Bjerregaard,Venstre,Aarhus Kommune,3981
Mai-Britt Beith,Socialdemokratiet,Hjørring Kommune,3856
Jørgen Popp Petersen,Slesvigsk Parti,Tønder Kommune,3845
René Danielsson,Dansk Folkeparti,Bornholms Regionskommune,3802
Lars Storgaard,Konservative,Favrskov Kommune,3682
Nicolaj Bang,Konservative,Aarhus Kommune,3560
Steffen Jensen,Socialdemokratiet,Halsnæs Kommune,3468
Pernille Rosenkrantz-Theil,Socialdemokratiet,Københavns Kommune,3442
Anna Thusgård,Socialdemokratiet,Aarhus Kommune,3327
Søren Rasmussen,Dansk Folkeparti,Kolding Kommune,3317
Allan Andersen,Socialdemokratiet,Tårnby Kommune,3299
Jakob Næsager,Konservative,Københavns Kommune,3289
Maja Torp,Venstre,Aalborg Kommune,3285
Martin Damm,Venstre,Kalundborg Kommune,3215
Trine Egetved,Konservative,Gribskov Kommune,3214
Jon Andersen,Venstre,Frederikshavn Kommune,3138
Brian Dybro,SF,Odense Kommune,3117
Britt Jensen,Socialdemokratiet,Rødovre Kommune,3094
Mette Bjerre,SF,Aarhus Kommune,3069
John Brædder,L,Guldborgsund Kommune,3057
Stine Damborg,Konservative,Viborg Kommune,3056
Anne Skau Styrishave,Radikale,Odense Kommune,3016
Emil Blücher,Liberal Alliance,Solrød Kommune,2938
Sarah Andersen,Venstre,Varde Kommune,2931
Christoffer Lorenzen,Konservative,Hillerød Kommune,2907
Frands Fischer,Socialdemokratiet,Skanderborg Kommune,2885
Alfred Brunsgaard,Venstre,Skive Kommune,2867
Simon Hansen,Socialdemokratiet,Guldborgsund Kommune,2803
Mathilde Hjort Bressum,Venstre,Aarhus Kommune,2780
Steen Vindum,Venstre,Silkeborg Kommune,2777
Anstina Krogh,Socialdemokratiet,Faaborg-Midtfyn Kommune,2769
Per Møller,Konservative,Hjørring Kommune,2747
Jan Nymark Rose Thaysen,Venstre,Aalborg Kommune,2740
Marie Brixtofte,Venstre,Gentofte Kommune,2731
Thomas Horn,Socialdemokratiet,Helsingør Kommune,2713
Søren Windell,Konservative,Odense Kommune,2706
Pernille Beckmann,Venstre,Greve Kommune,2685
Rune Kristensen,Konservative,Næstved Kommune,2669
Jes Lunde,Radikale,Aalborg Kommune,2642
Katrine Fusager Rohde,Venstre,Viborg Kommune,2641
Metin Lindved Aydin,Radikale,Aarhus Kommune,2619
Christina Lykke,SF,Frederikshavn Kommune,2616
Michael Stegger Jensen,Socialdemokratiet,Syddjurs Kommune,2577
Torsten Nielsen,Danmarksdemokraterne,Viborg Kommune,2567
Michael Seiding Larsen,Venstre,Vordingborg Kommune,2547
Anders Bertel,Socialdemokratiet,Viborg Kommune,2524
Kasper Bjerregaard,Venstre,Norddjurs Kommune,2515
Peter Larsen,SF,Aalborg Kommune,2513
Jens Kloppenborg,Venstre,Rudersdal Kommune,2502
Søren Smalbro,Venstre,Hjørring Kommune,2481
Frederik Tolstrup,Venstre,Bornholms Regionskommune,2477
Christian Lund,Venstre,Vejen Kommune,2435
Anders Brandt Sørensen,Socialdemokratiet,Frederikshavn Kommune,2426
Torben Gudiksen,Radikale,Holstebro Kommune,2407
Michael Harbøll,Socialdemokratiet,Esbjerg Kommune,2373
Marie Skødt,Socialdemokratiet,Haderslev Kommune,2368
Anne Thomas,Socialdemokratiet,Bornholms Regionskommune,2365
Morten Thiessen,Konservative,Aalborg Kommune,2342
Araz Khan,Liberal Alliance,Odense Kommune,2322
Isabell Friis Madsen,Socialdemokratiet,Favrskov Kommune,2316
Mahad B. Yussuf,Radikale,Aarhus Kommune,2303
Kristian Sommer,Socialdemokratiet,Aarhus Kommune,2255
Mikael Smed,Socialdemokratiet,Vordingborg Kommune,2216
Mikael Klitgaard,Venstre,Brønderslev Kommune,2212
Trine Græse,Socialdemokratiet,Gladsaxe Kommune,2194
Kenneth Gøtterup,Konservative,Dragør Kommune,2178
Morten Andersen,Venstre,Nordfyns Kommune,2169
Kenneth Tønning,Venstre,Holstebro Kommune,2156
Sofie Therese Svendsen,Konservative,Aalborg Kommune,2141
Peder Tind,Venstre,Fredericia Kommune,2127
Mads Skau,Venstre,Haderslev Kommune,2110
Peter Sporleder,Konservative,Aarhus Kommune,2090
Kirsten Jensen,Socialdemokratiet,Hillerød Kommune,2068
Nuuradiin Hussein,Socialdemokratiet,Aalborg Kommune,2053
Per Bach Laursen,Venstre,Vesthimmerlands Kommune,2049
Ann Sofie Orth,Konservative,Rudersdal Kommune,2025
Benny Damgaard,Danmarksdemokraterne,Lolland Kommune,2001
Marianne Bredal,Venstre,Struer Kommune,2001
Signe Vedersø Keldorff,Dansk Folkeparti,Odense Kommune,1996
Klaus Flæng,Socialdemokratiet,Holstebro Kommune,1992
Jakob Spliid,Venstre,Sorø Kommune,1973
Frank Schmidt-Hansen,Konservative,Vejen Kommune,1972
Jesper Würtzen,Socialdemokratiet,Ballerup Kommune,1971
Matilde Dueholm,Socialdemokratiet,Aarhus Kommune,1970
Birgitte Munk Grunnet,Socialdemokratiet,Kolding Kommune,1966
Steffen Drejer,Konservative,Viborg Kommune,1934
Jørgen Nielsen,Konservative,Langeland Kommune,1931
Leif Skaarup,Socialdemokratiet,Mariagerfjord Kommune,1919
Marlene Ambo-Rasmussen,Venstre,Odense Kommune,1919
