region,kommune,kommune_kode,afstemningsområde,afstemningsområde_dagi_id,frigivelsestidspunkt,godkendelsestidspunkt,resultat_art,total_gyldige_stemmer,total_afgivne_stemmer,parti,parti_id,parti_bogstav,stemmer,listestemmer,difference_forrige_valg
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Enhedslisten - De Rød-Grønne,9bbda3ed-a4b9-4ba3-864a-dfc33373600f,Ø,25,16.0,-7.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Socialdemokratiet,bedd1cb4-0f99-4863-a833-a1ae26f2de5c,A,311,138.0,-206.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Alternativet,eace5de3-c706-42e2-b027-57cabf63b54b,Å,7,6.0,4.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Liberal Alliance,a21bf21e-321d-4a68-91f0-e1830957d22b,I,46,21.0,35.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Vendelbo-Listen,d517e71c-f062-4e45-8d91-b9fd5e659a86,L,2,0.0,
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,"Venstre, Danmarks Liberale Parti",b858cc73-3dce-493f-8d8b-64f8ca70f835,V,203,44.0,-39.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,SF - Socialistisk Folkeparti,34d98d24-99a7-467b-a384-b266ead5fb49,F,102,38.0,43.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Kristendemokraterne,8758f369-c821-4ae5-a5dc-9af4986f8ae1,K,2,1.0,0.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Dansk Folkeparti,a5ef8864-af86-4e5e-93e5-d6504421b36b,O,54,31.0,-14.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Danmarksdemokraterne - Inger Støjberg,2869c587-476c-4835-a735-ee00bdb07648,Æ,272,174.0,
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Nye Borgerlige,7073fc25-9d25-475b-a4b7-a40389a9b383,D,2,2.0,-64.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Radikale Venstre,d05122d2-4ea0-446c-9b83-5f9601beaece,B,17,8.0,3.0
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Moderaterne,4ec93d4e-2ff8-47aa-8c9e-f7aa514debde,M,10,3.0,
Nordjylland,Mariagerfjord Kommune,846,Assens,708668,2025-11-19 12:11:01,,Fintælling,1142,1214,Det Konservative Folkeparti,f9b2ea60-3ef4-487f-a118-1e67e7195d08,C,89,43.0,-42.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Radikale Venstre,0d9fdb37-ca91-46de-914e-692d8a7ff0ee,B,2,2.0,-2.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Alternativet,e530cc9e-e565-4f8f-beef-5b0d34b6b08a,Å,1,1.0,1.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Dansk Folkeparti,bc022157-aeb0-499f-8a39-132c0834a71f,O,0,0.0,-3.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Psykiatri-Listen,501cefe2-2544-4fa3-aee0-3dfc4e041e3c,P,3,3.0,0.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Liberal Alliance,f4f2e042-70b2-4081-82e3-16a65b00984b,I,3,2.0,1.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Kristendemokraterne,4ce30cdb-e421-44a8-9cdf-6db609614bef,K,0,0.0,-2.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,"Venstre, Danmarks Liberale Parti",bea5ae93-abff-45ed-9b10-28a32f8ccb59,V,26,19.0,-13.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Socialdemokratiet,afdc13e1-5f9b-4951-8dcd-9b283ff1a571,A,20,7.0,-2.0
Midtjylland,Odder Kommune,727,Alrø,711964,2025-11-19 09:33:52,,Fintælling,93,98,Det Konservative Folkeparti,beb4965d-9374-4df6-b1d2-da2f0dcd4646,C,12,7.0,-1.0
