dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;region;største_parti;pop_up
709812;Langå, Svindinge Og Øksendrup;5;Svindinge Forsamlingshus;450;46;403614;Strædet 2, Svindinge, 5853 Ørbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Svindinge Forsamlingshus<br>"
748590;Nymarken;3;Nymarksskolen;440;46;403614;Nymarken 47, Hundslev, 5300 Kerteminde;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nymarksskolen<br>"
706574;Kerteminde;2;Kerteminde Idrætscenter;440;46;403614;Enggade 19, 5300 Kerteminde;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Kerteminde Idrætscenter<br>"
703760;Skellerup;8;Skellerup Forsamlingshus;450;46;403614;Skellerup Byvej 16, 5540 Ullerslev;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Skellerup Forsamlingshus<br>"
703754;Nyborghallen;2;Nyborghallen;450;46;403614;Halvej 1, 5800 Nyborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nyborghallen<br>"
708346;Ørbæk;10;Ørbæk Midtpunkt;450;46;403614;Langemosevej 5, 5853 Ørbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ørbæk Midtpunkt<br>"
712260;Hindsholm;1;Hindsholmskolen;440;46;403614;Dalby Bygade 5, 5380 Dalby;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hindsholmskolen<br>"
708334;Ullerslev;6;Ullerslev Kultur- og Idrætscenter;450;46;403614;Skolevej 2, 5540 Ullerslev;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ullerslev Kultur- og Idrætscenter<br>"
705368;Aunslevhallen;1;Aunslevhallen;450;46;403614;Skovgyden 1, Aunslev, 5800 Nyborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Aunslevhallen<br>"
706642;Kullerup Og Refsvindinge;13;Refsvindinge Forsamlingshus;450;46;403614;Refsvindinge Byvej 26, Refsvindinge, 5853 Ørbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Refsvindinge Forsamlingshus<br>"
705374;Vindinge Forsamlingshus;4;Vindinge Forsamlingshus;450;46;403614;Bøjdenvej 75, Vindinge, 5800 Nyborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vindinge Forsamlingshus<br>"
708340;Langtved;9;Langtved Forsamlingshus;450;46;403614;Langtvedvej 15, 5540 Ullerslev;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Langtved Forsamlingshus<br>"
705322;Marslev;4;Marslev Skole- og Børnehus;440;46;403614;Marslev Byvej 41, 5290 Marslev;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Marslev Skole- og Børnehus<br>"
707976;Munkebo;6;Munkebo Idrætscenter;440;46;403614;Mosevangen 2, 5330 Munkebo;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Munkebo Idrætscenter<br>"
705316;Langeskov;5;Langeskov Idrætscenter;440;46;403614;Børmosevej 3, 5550 Langeskov;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Langeskov Idrætscenter<br>"
701998;Ellinge;7;Ellinge Forsamlingshus;450;46;403614;Gl. Byvej 12, Ellinge, 5540 Ullerslev;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ellinge Forsamlingshus<br>"
702004;Ellested Og Herrested;12;Herrested Forsamlingshus;450;46;403614;Odensevej 100, Herrested, 5853 Ørbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Herrested Forsamlingshus<br>"
706634;Bastionen;3;Bastionen;450;46;403614;Nørrevoldgade 63, 5800 Nyborg;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bastionen<br>"
705380;Frørup Og Tårup;11;Frørup Forsamlingshus;450;46;403614;Kogsbøllevej 83, 5871 Frørup;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Frørup Forsamlingshus<br>"
701908;Dalby/Tved/Rebæk;11;Dalbyhallen;621;60;403627;Dalbyvej 116C, Dalby, 6000 Kolding;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Dalbyhallen<br>"
712326;Vamdrup/Hjarup/Ødis;14;Arena Syd;621;60;403627;Idrætsvej 3, 6580 Vamdrup;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Arena Syd<br>"
712312;Chr.Feld/Stepping/Taps/Hejls;15;Cuben;621;60;403627;Østprøven 1, 6070 Christiansfeld;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Cuben<br>"
701902;Centrum Syd;8;Brændkjærhallen, Idræts- og kulturhus;621;60;403627;Dannersvej 2, 6000 Kolding;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Brændkjærhallen, Idræts- og kulturhus<br>"
712320;Seest;10;Bakkeskolen;621;60;403627;Seestvej 6, Seest, 6000 Kolding;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bakkeskolen<br>"
705308;S Bjert/S Stenderup/Vejstrup;12;Bjert-Hallen;621;60;403627;Engløkke 7, Agtrup, 6091 Bjert;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bjert-Hallen<br>"
701916;Sydbyen;9;Pulzion;621;60;403627;Peter Tofts Vej 21, 6000 Kolding;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Pulzion<br>"
707970;Vonsild;13;Vonsildhallen;621;60;403627;Catolhavegyden 19, Vonsild, 6000 Kolding;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vonsildhallen<br>"
