kandidat,parti,stemmer
"Anders Kühnau, Aarhus",Socialdemokratiet,37591
"Anders G. Christensen, Favrskov",Venstre,14753
"Poul Berggreen, Silkeborg",Venstre,8845
"Purnima Erichsen, Aarhus",Konservative,8533
"Birte Markfoged, Skive",Venstre,7000
"Else Søjmark, Djursland",Socialdemokratiet,6579
"Jacob Klærke, Horsens",SF,6424
"Susanne Buch, Favrskov",SF,5869
"Jens Erik T. Damgaard, Ringkøbing",Kristendemokraterne,5667
"Jakob Søgaard Clausen, Aarhus",Danmarksdemokraterne,5636
"Bent B. Graversen, Lemvig",Venstre,5495
"Ib Bjerregaard, Viborg",Venstre,4996
"Else Kayser, Århus",Enhedslisten,4982
"Nils Borring, Favrskov",Socialdemokratiet,4974
"Bo Jensen, Ikast-Brande",Konservative,4953
"Michael Maaløe, Horsens",Socialdemokratiet,4898
"Michele Offenbach Holm, Randers",Socialdemokratiet,4883
"Naja Kallesøe, Silkeborg",SF,4674
"Bruno Hansen, Herning",Venstre,4667
"Hanne Roed, Aarhus",Radikale,4595
"Majbritt Birkholm, Holstebro",Dansk Folkeparti,4417
"Jakob Fuglsang Andersen, Aarhus",SF,4327
"Kristian Ahle, Ringkøbing-Skjern",Venstre,4312
"Rose-Marie Mollerup, Hjortshøj",P,4218
"Annette Roed, Silkeborg",Socialdemokratiet,4201
"Louise Høeg, Randers",Venstre,4112
"Christina Kirkegaard, Aarhus",Socialdemokratiet,4098
"Malena Møller Mortensen, Viborg",Konservative,3896
"Jens Kristian Hedegaard, Holstebro",Venstre,3836
"Steen Jakobsen, Struer",Venstre,3788
"Per Møller Jensen, Viborg",Socialdemokratiet,3782
"Helle Jensen, Viborg",Liberal Alliance,3665
"Lone Rusberg, Silkeborg",Konservative,3457
"Lars Stampe, Holstebro",Socialdemokratiet,3294
"Andreas Tang-Brock, Ry",Socialdemokratiet,3073
"Anders Paabøl, Aarhus",Liberal Alliance,2995
"Susanne Grove, Skive",Socialdemokratiet,2973
"Jan Beck-Nielsen, Silkeborg",Liberal Alliance,2835
"Lone Lundsgaard, Horsens",Venstre,2626
"Niels Viggo Lynghøj, Struer",Socialdemokratiet,2587
"Vivi Altenburg, Ringkøbing-Skjern",Danmarksdemokraterne,2576
"Nicolai Estrup, Randers",Dansk Folkeparti,2545
"Annette Bolvig, Hedensted",Venstre,2510
"Lone Langballe, Viborg",Dansk Folkeparti,2396
"Hans Skou, Aarhus",Venstre,2369
"Iben Sønderup, Aarhus",Socialdemokratiet,2245
"Sebastian Sandgaard, Herning",Venstre,2193
"Betina Bugge, Skive",Danmarksdemokraterne,2174
"Mustafa Arslan, Ikast-Brande",Socialdemokratiet,2105
"Nikoline Erbs Hillers-Bendtsen, Aarhus C",Alternativet,2042
"Karoline Bergkvist Søgaard, Djursland",Socialdemokratiet,2000
"Philip Vivet, Herning Kommune",Radikale,1963
"Henrik Engedahl, Ikast-Brande",Venstre,1839
"Lone Børlum, Herning",Socialdemokratiet,1838
"Lone Kjær Hein, Holstebro Kommune",Radikale,1836
"Stine Isaksen, Viborg",Alternativet,1760
"Peter Møller Andersen, Aarhus",Socialdemokratiet,1746
"Lasse Bjørn Møller, Holstebro",Socialdemokratiet,1730
"Birgit Jakobsen, Hedensted",Kristendemokraterne,1721
"Mia Nybo, Favrskov Kommune",Radikale,1707
"Søren Norlander, Randers",SF,1635
"Kristjar Skajaa, Malling",Enhedslisten,1586
"Mette Guldberg, Herning",Konservative,1586
"Henrik Grøn, Lemvig",Danmarksdemokraterne,1584
"Siff Tang Lassen, Aarhus",Konservative,1559
"Kuno F. Danielsen, Silkeborg",Danmarksdemokraterne,1460
Sten Larsen,Moderaterne,1460
"Camilla Holt Jones, Viborg",Socialdemokratiet,1426
"Jakob Svendsen, Viborg",Danmarksdemokraterne,1404
"Jeppe Spure Nielsen, Aarhus C",Alternativet,1399
"Charlotte Aaby, Silkeborg",Dansk Folkeparti,1398
"Anders Krojgaard Lund, Horsens",Konservative,1309
"Rasmus Gamst Beltofte, Holstebro Kommune",Radikale,1308
"Bente Strager, Skanderborg",SF,1302
"Rasmus T. Mortensen, Aarhus",SF,1260
"Thomas Rahbek Sloth, Ringkøbing-Skjern",Venstre,1247
"Karina Aamann, Horsens",Venstre,1221
"Linda Nielsen, Videbæk",Socialdemokratiet,1214
"Ilka Daniel, Norddjurs",Venstre,1203
"Peter Nowack, Herning",SF,1198
"Lene Foged, Stoholm",Liberal Alliance,1188
"Jakob Kjærsgaard, Herning",Danmarksdemokraterne,1176
"Mikkel Strube-Weber, Aarhus",Venstre,1153
"Torben Thrue, Randers",Danmarksdemokraterne,1114
"Birgit Marie Christensen, Favrskov",Socialdemokratiet,1097
"Elvin J. Hansen, Odder",Socialdemokratiet,1084
"Marianne Kirkegaard, Syddjurs",Venstre,1076
"Kasper Vindbjerg, Norddjurs",SF,1053
"Michael Grove, Viborg",Konservative,1034
"Lone Glarbo, Favrskov",Danmarksdemokraterne,1018
"Christian Wibe-Marker, Skanderborg",Konservative,1018
"Oliver Abildskov, Aarhus",Konservative,1014
"Lilian Højbjerg, Holstebro",Socialdemokratiet,1002
"Arne Lægaard, Skanderborg",Venstre,983
"Christina Hedegaard Hansen, Horsens",Enhedslisten,968
"Knud Kristensen, Risskov",P,963
"Jens Kannegaard Lundager, Djursland",Dansk Folkeparti,939
"Marianne Tøttrup, Viborg Kommune",Radikale,915
"Henrik Hjortshøj, Aarhus",Venstre,893
"Finn Brostrup, Ikast-Brande",Dansk Folkeparti,884
"Kasper Venning, Viborg",SF,881
"Bo Sand Kristensen, Ikast-Brande",Danmarksdemokraterne,870
"Beatrice W. Korsholm, Horsens",Dansk Folkeparti,860
Mette Nielsen,Y,853
"Lau Sørensen, Holstebro",Konservative,851
"Marcus Juul Grønbæk, Ringkøbing-Skjern",Danmarksdemokraterne,849
"Lisa Castro Jensen, Struer",Liberal Alliance,848
"Tenna Røberg, Aarhus",Dansk Folkeparti,834
"Susanne Lund, Aarhus",Konservative,832
"Jesper Flensted, Hedensted",Dansk Folkeparti,827
"Kirsten Sander Iversen, Hedensted",Danmarksdemokraterne,820
"Esther Daugaard, Århus",Enhedslisten,783
"Adnan Nikontovic, Horsens",SF,774
"Karlo Brondbjerg, Herning",Kristendemokraterne,757
"Birgitte Majgaard, Galten",Konservative,755
"Dorthe le Fèvre, Ebeltoft",Konservative,755
"Mette Marie Thomsen, Holstebro",Venstre,754
"Bo Leander Gylling, Horsens",Danmarksdemokraterne,740
"Søren Møller Christensen, Dejbjerg",Liberal Alliance,736
"Rikke Christensen, Horsens Kommune",Radikale,732
"Thue Grum-Schwensen, Skive",SF,726
"Kasper Humle, Lemvig Kommune",Radikale,714
"Knud Nielsen, Herning",Dansk Folkeparti,713
"Peter Askjær, Samsø",Konservative,705
"Agnethe Clemmensen, Herning",Enhedslisten,699
"Thomas Kastrup Christensen, Aarhus",Dansk Folkeparti,687
"Steffen Jespersen, Horsens",Liberal Alliance,686
"Kenneth Storm, Aulum",Liberal Alliance,679
"Morten Ballegaard Sørensen, Randers",Konservative,668
"Lea Grey Haller, Åbyhøj",P,653
"Mathias Sikora, Aarhus Kommune",Radikale,628
"Sander Jensen, Aarhus",SF,626
"Diana Therese Mikkelsen, Norddjurs",Danmarksdemokraterne,624
"Thorbjørn Jacobsen, Struer",Liberal Alliance,621
"Peter Mousten, Skive",Dansk Folkeparti,621
"Kirstine Skjødt, Viborg",Konservative,610
"Ulrik Rasmussen, Syddjurs Kommune",SF,607
"Henrik Ræder Clausen, Aarhus",Dansk Folkeparti,607
"Morten Junget, Silkeborg Kommune",Radikale,598
"Aksel Rosager Johansen, Viborg",Enhedslisten,582
"Jytte Søgård Mikkelsen, Herning",SF,577
"Hans Bak, Holstebro",Liberal Alliance,577
"Emil M.D. Christensen, Aarhus",Venstre,573
"Carina Sarkkinen Jacobsen, Hedensted",SF,553
"Helle Nørgaard Lundsby, Skive",Enhedslisten,551
Lene Bach Nørgaard,Moderaterne,549
"Knud Schøler, Hinnerup",Konservative,544
"René Krongaard, Odder",Konservative,542
"Mikkel Sommer, Struer",Danmarksdemokraterne,541
"Simon Buus Olsen, Favrskov",Liberal Alliance,532
"Sebastian Halkjær-Grauert, Norddjurs",Liberal Alliance,532
"Søren Boel Olesen, Holstebro",Dansk Folkeparti,526
"Henrik Christiansen, Brande",Liberal Alliance,504
"Emilia M. Feldskov, Aarhus C",Konservative,500
"Tine Holm, Aarhus N",P,500
