kandidat,parti,stemmer
"Mads Duedahl, Aalborg",Venstre,12491
"Arne Boelt, Hjørring",Socialdemokratiet,10488
"Pia Buus Pinstrup, Vesthimmerland",Konservative,3722
"Peter Therkildsen, Morsø",Venstre,3574
"Kirsten Morild Andersen, Frederikshavn",Socialdemokratiet,2711
"Poul Kristensen, Morsø",Socialdemokratiet,2506
"Per Larsen, Frederikshavn",Konservative,2277
"Mette Hardam, Frederikshavn Kommune",Venstre,2001
"Per Møller, Hjørring",Konservative,1992
"Hanne Korsgaard, Thisted",Socialdemokratiet,1695
"Jakob Dyrman, Vesthimmerland",Venstre,1665
"Lene Aalestrup, Rebild",Konservative,1655
"Torben Ringe Christensen, Mariagerfjord",Socialdemokratiet,1430
"Kim Edberg Andersen, Rebild",Danmarksdemokraterne,1379
"Lina Hundebøll Jespersen, Thisted",Venstre,1307
"Per Bisgaard, Vesthimmerland",Venstre,1306
"Lone Olsen, Hjørring",Venstre,1264
"Gitte Bundgaard, Rebild",Danmarksdemokraterne,1154
"Henrik Terp, Vesthimmerland",Socialdemokratiet,1030
"Poul Roesen, Morsø",Konservative,967
"Almina Nikontovic, Frederikshavn Kommune",SF,897
"Gry Bruun Nielsen, Hjørring",Radikale,855
"Pernille Buhelt, Hjørring",Socialdemokratiet,812
"Jess V. Laursen, Mariagerfjord",Venstre,762
"Birgitte Sørensen, Vesthimmerland",Danmarksdemokraterne,739
"Jens Nygaard, Frederikshavn",Danmarksdemokraterne,710
"Lene Linnemann, Aalborg Kommune",SF,708
"Marie Tvergaard, Rebild",Venstre,690
"Annemette Bach, Vesthimmerlands Kommune",SF,652
"Jens Tilma, Thisted",Konservative,642
"Andreas Huus Andersen, Hjørring",Danmarksdemokraterne,606
"Anna Kirsten Olesen, Aalborg",Socialdemokratiet,521
"Nina Røntved Krog, Thisted",Danmarksdemokraterne,512
"Marianne Mulle Jensen, Aalborg",Radikale,504
Morten Arvidsson,Moderaterne,479
"Gerda Nørgaard, Hjørring",SF,478
"Ib Poulsen, Thisted",Dansk Folkeparti,471
"Meiner Nørgaard, Morsø",Danmarksdemokraterne,457
"Lis Mancini, Hadsund",Socialdemokratiet,430
"Thomas Hjort, Frederikshavn",Dansk Folkeparti,413
"Niels H. Bünemann, Skagen",Venstre,390
"Runa Friis Hansen, Hjørring",Enhedslisten,381
Erik Høgh-Sørensen,L,379
"Oskar Schmidt, Skagen",Socialdemokratiet,373
Bo Ritterbusch,Liberal Alliance,366
"Per Alstrup, Rebild",SF,366
"Erik Holm, Thisted",SF,356
"Jan Andersen, Mariagerfjord",Venstre,355
"Mogens Gade, Jammerbugt",Venstre,346
Kenneth Hammer,Liberal Alliance,341
