kandidat,parti,stemmer
"Peter Kofod, Haderslev",Dansk Folkeparti,7234
"Bo Libergren, Odense",Venstre,3389
"Mette With Hagensen, Varde",Socialdemokratiet,3255
"Annette Lundgaard, Billund",Venstre,2822
"Preben Friis-Hauge, Varde",Venstre,2609
"Poul Erik Jensen, Kolding",Socialdemokratiet,2407
"Søren Rasmussen, Kolding",Dansk Folkeparti,2312
"Lennarth Hansen, Kolding",Venstre,2268
"Susanne Stenstrop Thorsen, Kolding",SF,2009
"Allan Emiliussen, Haderslev",Venstre,1668
"Karina Vestergaard, Billund",Socialdemokratiet,1544
"Cecilie Liv Hansen, Kolding",Liberal Alliance,1181
"Jan Lagoni, Esbjerg",Venstre,1138
"Martin Boye, Vejen",Venstre,1073
"Christian Nyby Bergholdt, Varde",Liberal Alliance,883
"Tanja Vestergaard Skøtt, Vejen",Socialdemokratiet,828
"May-Britt Andrea Andersen, Esbjerg",Konservative,773
"Brian Vittrup, Kolding",Venstre,753
"Bente Bendix, Varde",Venstre,687
"Maria Glinvad Damgaard, Haderslev",Socialdemokratiet,664
"Thomas Majgaard Byrsing, Kolding",Danmarksdemokraterne,628
"Knud Erik Langhoff, Kolding",Konservative,628
"Christian Martens, Billund",Danmarksdemokraterne,614
Morten Hell,Moderaterne,589
"Gitte Frederiksen, Vejle",Venstre,537
"Joachim Hoffmann, Odense",Konservative,521
"Annette Blynel, Svendborg",SF,512
"Knud Nørregaard, Kolding",Radikale,436
"Susanne Dyreborg, Esbjerg",Danmarksdemokraterne,428
"Kim Eskesen, Esbjerg",Socialdemokratiet,390
"Simon Dahl Verner, Esbjerg",SF,383
"Lars Erik Hornemann, Langeland",Venstre,376
"Thomas Vedsted, Haderslev",Liberal Alliance,375
"Mette Bossen Linnet, Tønder",Venstre,365
"Mikkel Berggreen Schmidt, Varde",SF,362
"Ulla Koman, Esbjerg",Socialdemokratiet,339
"Christina Kokkendoff, Kolding",Liberal Alliance,326
"Frank Mikkelsen, Grindsted",Dansk Folkeparti,312
"Torbjørn Fristed, Varde",Danmarksdemokraterne,303
"Hanne Pedersen, Haderslev",SF,295
"Rasmus Sandvej, Kolding",Konservative,266
"Henrik Mielke Ravn, Haderslev",Danmarksdemokraterne,261
"Kent Mosgård, Middelfart",Venstre,250
"Jonas Lee  Jeppesen, Vejen",Danmarksdemokraterne,250
"Gunver Birgitte Nielsen, Haderslev",Konservative,248
"Jasmin Bjelosevic, Vejle",Socialdemokratiet,246
"Andi Sejersen, Vejle",Socialdemokratiet,243
"Peter Nikolajsen, Esbjerg",Liberal Alliance,202
"Betina Wettengel, Kolding",Konservative,195
"Elsebeth Bertignol, Varde",Dansk Folkeparti,194
"Kim Lund, Middelfart",Danmarksdemokraterne,192
"Sabrina Bech Bartholin, Esbjerg",E,191
"Cecilie Roed Schultz, Fredericia",Enhedslisten,188
"Sara Darling Jørgensen, Svendborg",SF,181
"Melissa Gilroy, Fanø",Radikale,181
"Kirsten Gaulshøj, Esbjerg",Dansk Folkeparti,180
Paul Erik Planitzer,Kristendemokraterne,175
