kandidat,parti,stemmer
Pia Kjærsgaard,Dansk Folkeparti,93603
"Lars Gaardhøj, København",Socialdemokratiet,20771
"Christoffer Buster Reinhardt, Rudersdal",Konservative,16711
"Camilla Hove Lund, Holbæk",Venstre,14036
"Trine Birk Andersen, Holbæk",Socialdemokratiet,12653
"Laila Kildesgaard, Bornholm",Socialdemokratiet,11212
"Helge Adam Møller, Næstved",Konservative,9253
"Peter Westermann, København",SF,8569
"Thomas Adelskov, Odsherred",Socialdemokratiet,7450
"Sofie de Bretteville, Ballerup",Socialdemokratiet,7246
"Susanne Lundvald, Næstved",Socialdemokratiet,7215
"Stinus Lindgreen, Lyngby-Taarbæk",Radikale,7111
"Hanne Svenningsen, Lejre",SF,7064
"Thomas Rohden, København",Radikale,6970
"Helena Hedegaard Udsen, København",Enhedslisten,6923
"Iben Krog, København",Venstre,6508
"Torben Klitmøller Hollmann, Lolland",Socialdemokratiet,5961
"John Hansen, Guldborgsund",Socialdemokratiet,5913
"Gül Øzcan, Glostrup",Enhedslisten,5901
"Jacob Rosenberg, Frederiksberg",Konservative,5896
"Randi Mondorf, Rudersdal",Venstre,5326
"Anders Koefoed, Slagelse",Venstre,5131
"Tina-Mia Eriksen, Ringsted",Konservative,4792
"Jesper Marcus, Gentofte",Konservative,4728
"Emilie Esmann, Amager",SF,4426
"Christian Wedell-Neergaard, Køge",Konservative,4413
"Line Ervolder, København",Konservative,4150
"Kenneth Nielsen, Slagelse",Socialdemokratiet,3926
"Anja Rosengreen, Halsnæs",SF,3691
"Dorthe Adelsbech, Faxe",Venstre,3690
"Anne Møller Ronex, Holbæk",Radikale,3679
"Sine Reffstrup, Ringsted",Socialdemokratiet,3494
"Christian Vigilius, Gentofte",Konservative,3493
"Tormod Olsen, København",Enhedslisten,3476
"Susanne Due Kristensen, Hillerød",Socialdemokratiet,3465
"Julie Hoff Sørensen, Stevns",SF,3446
"Charlotte Bagge, Stege",Moderaterne,3397
"Irfan Gilani, Brøndby",Radikale,3393
"Joan Kragh, Guldborgsund",SF,3303
"Dorthe Mikkelsen, Vallensbæk",Liberal Alliance,3282
"Sofie Holm, København",Radikale,3029
"Flemming Damgaard Larsen, Lejre",Venstre,2976
"Vibeke Westh, Frederiksberg",Socialdemokratiet,2879
"Rasmus Lund-Nielsen, Gladsaxe",Moderaterne,2867
"Nicolai Wang, København",Liberal Alliance,2860
"Kirsten Rask, Kalundborg",Socialdemokratiet,2827
"Nicolai Kampmann, Hvidovre",Socialdemokratiet,2789
"Helle Lethmar, Køge",Socialdemokratiet,2781
"Josefine Paaske, Køge",Venstre,2724
"Bent Jørgensen, Roskilde",Venstre,2718
"Christine Dal Thrane, Lyngby-Taarbæk",Venstre,2646
"Bergur Løkke Rasmussen, Helsingør",Moderaterne,2637
"Nadeem Farooq, Høje-Taastrup",Radikale,2627
